circuit_id,circuit_description,chat_question,agent_question,same_initial_question,component_count,node_count,component_type_count,component_types,analysis_types,has_integrated_circuit,integrated_circuit_models
a01,,"Il LED è già acceso, ma la lampada è spenta. Individua la causa ed esegui gli scenari necessari per accendere la lampada mantenendo acceso anche il LED.","Il LED è già acceso, ma la lampada è spenta. Individua la causa ed esegui gli scenari necessari per accendere la lampada mantenendo acceso anche il LED.",true,9,6,6,Connector|GND|Lamp|LED|Resistor|Switch,op,false,
a02,,La batteria è presente ma non eroga corrente e il circuito non reagisce. Individua la causa ed esegui gli scenari necessari per verificare una correzione funzionante.,La batteria è presente ma non eroga corrente e il circuito non reagisce. Individua la causa ed esegui gli scenari necessari per verificare una correzione funzionante.,true,8,5,6,Battery|Capacitor|Connector|GND|Resistor|Switch,op,false,
a04,,"Il circuito dovrebbe amplificare il segnale, ma in uscita vedo un segnale troppo debole o quasi nullo. Individua la causa ed esegui gli scenari necessari per verificare una correzione funzionante.","Il circuito dovrebbe amplificare il segnale, ma in uscita vedo un segnale troppo debole o quasi nullo. Individua la causa ed esegui gli scenari necessari per verificare una correzione funzionante.",true,12,7,6,Battery|Capacitor|GND|NPN_Transistor|Resistor|Signal_Source,op|tran,false,
a05,,Il voltmetro VMON legge sempre 0 V. Quale potrebbe essere il problema?,Il voltmetro VMON legge sempre 0 V. Quale potrebbe essere il problema?,true,9,5,6,Analog_Meter|Capacitor|Connector|GND|Resistor|Switch,op,false,
a06,,"Il circuito amplifica, ma l’uscita mi sembra troppo distorta o poco pulita. Quale potrebbe essere il problema?","Il circuito amplifica, ma l’uscita mi sembra troppo distorta o poco pulita. Quale potrebbe essere il problema?",true,18,9,6,Capacitor|GND|NPN_Transistor|Resistor|Signal_Source|Terminal,op|tran,false,
a07,,Il LED di alimentazione non si accende e il voltmetro VAC non mostra nulla. Quale potrebbe essere il problema?,Il LED di alimentazione non si accende e il voltmetro VAC non mostra nulla. Quale potrebbe essere il problema?,true,9,5,6,Analog_Meter|Connector|GND|LED|Resistor|Switch,op|tran,false,
a08,,Il LED non lampeggia come mi aspetterei. Quale potrebbe essere il problema?,Il LED non lampeggia come mi aspetterei. Quale potrebbe essere il problema?,true,10,6,6,Capacitor|GND|LED|NPN_Transistor|Resistor|Signal_Source,op|tran,false,
a09,,"Voglio accendere contemporaneamente la lampada e il LED mantenendo il circuito stabile. Individua la causa ed esegui gli scenari necessari per verificare, nella stessa simulazione, che entrambi siano attivi.","Voglio accendere contemporaneamente la lampada e il LED mantenendo il circuito stabile. Individua la causa ed esegui gli scenari necessari per verificare, nella stessa simulazione, che entrambi siano attivi.",true,13,8,9,Battery|Capacitor|Connector|Fuse|GND|Lamp|LED|Resistor|Switch,op,false,
a10,,"Voglio accendere contemporaneamente la lampada e il LED mantenendo il circuito stabile. Individua la causa ed esegui gli scenari necessari per verificare, nella stessa simulazione, che entrambi siano attivi.","Voglio accendere contemporaneamente la lampada e il LED mantenendo il circuito stabile. Individua la causa ed esegui gli scenari necessari per verificare, nella stessa simulazione, che entrambi siano attivi.",true,10,6,7,Battery|Connector|GND|Lamp|LED|Resistor|Switch,op,false,
b02,,"Il circuito dovrebbe far lampeggiare alternativamente i due LED, ma nella simulazione restano entrambi accesi. Come mai?","Il circuito dovrebbe far lampeggiare alternativamente i due LED, ma nella simulazione restano entrambi accesi. Come mai?",true,11,8,5,GND|LED|NPN_Transistor|Polarized_Capacitor|Resistor,op|tran,false,
