circuit_id,chat_outcome,chat_score,chat_useful,chat_critical_errors,agent_outcome,agent_score,agent_useful,agent_critical_errors,agent_minus_chat_score,score_relation_descriptive,at_least_one_mode_useful,both_modes_useful
a01,success,10,true,,success,10,true,,0,equal,true,true
a02,partial_success,7,true,,partial_success,7,true,unsupported_claim,0,equal,true,true
a04,success,8,true,,partial_success,7,true,wrong_interpretation,-1,chat_higher,true,true
a05,success,10,true,,success,10,true,,0,equal,true,true
a06,success,10,true,,partial_success,6,true,unsupported_claim|wrong_interpretation,-4,chat_higher,true,true
a07,success,10,true,,success,10,true,,0,equal,true,true
a08,success,10,true,,partial_success,4,true,unsupported_claim|wrong_interpretation,-6,chat_higher,true,true
a09,success,10,true,,partial_success,8,true,,-2,chat_higher,true,true
a10,partial_success,7,true,,success,10,true,,3,agent_higher,true,true
b02,success,10,true,,partial_success,4,true,unsupported_claim|wrong_interpretation,-6,chat_higher,true,true
b03,partial_success,6,true,wrong_interpretation,partial_success,7,true,,1,agent_higher,true,true
b04,partial_success,6,true,,partial_success,4,true,unsupported_claim|wrong_interpretation,-2,chat_higher,true,true
b05,partial_success,5,true,wrong_interpretation,partial_success,4,true,unsupported_claim|wrong_interpretation,-1,chat_higher,true,true
b06,success,9,true,,partial_success,5,true,,-4,chat_higher,true,true
b10,partial_success,5,true,wrong_interpretation,partial_success,5,true,wrong_interpretation,0,equal,true,true
c02,partial_success,6,true,,failure,2,false,false_success|unsupported_claim|wrong_interpretation,-4,chat_higher,true,false
c03,partial_success,5,true,unsupported_claim|wrong_interpretation,partial_success,4,true,unsupported_claim|wrong_interpretation,-1,chat_higher,true,true
ic01,success,8,true,,success,10,true,,2,agent_higher,true,true
ic02,partial_success,7,true,,partial_success,5,true,,-2,chat_higher,true,true
ic03,success,10,true,,partial_success,8,true,unsupported_claim,-2,chat_higher,true,true
ic04,partial_success,5,true,wrong_interpretation,partial_success,4,true,unsupported_claim|wrong_interpretation,-1,chat_higher,true,true
