circuit_id,batch,image_file,json_file,score,decision,usable_as_graph_base,components_score,terminals_pins_score,graph_connections_score,visible_semantics_score,critical_errors_count,major_errors_count,minor_errors_count,missing_from_json_count,extra_in_json_count,wrong_graph_connections_count,judge_latency_seconds,input_json_valid,parsed_ok,prompt_file,prompt_sha256,classes_yaml_file,classes_yaml_sha256,short_explanation
a01,A,a01.png,a01.json,98,VERY_HIGH,True,10,24,55,9,0,0,1,0,0,0,15.11,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph e sostanzialmente fedele all'immagine: pin1 del connettore va al resistore superiore e poi al LED verso il nodo comune di destra con GND; pin2 va al resistore inferiore e poi alla lampada verso lo stesso nodo comune con GND; pin3 va all'interruttore aperto verso GND; pin4 va direttamente a GND. Non risultano net fuse, net split o collegamenti inventati rilevanti."
a02,A,a02.png,a02.json,97,VERY_HIGH,True,10,23,55,9,0,0,2,0,0,0,16.546,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph e sostanzialmente fedele all'immagine: VCC/batteria verso J3 pin1, rail superiore comune tra batteria negativa, terminale alto del resistore e lato sinistro dello switch, resistore verso J3 pin2, condensatore tra J3 pin3 e GND, J3 pin4 a GND, e switch aperto verso un GND separato sul lato destro. Non risultano collegamenti mancanti, inventati, net fuse o net split; solo lievi imprecisioni nei metadati di posizione dei terminali."
a03,A,a03.jpg,a03.json,78,HIGH,True,7,18,47,6,0,3,3,2,2,1,46.436,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il graph riproduce bene la topologia principale del ramo di controllo: rail superiore/inferiore, LDR-RV1 verso la base di Q1, accoppiamento Q1->Q2, R1, bobina del relay e diodo in parallelo alla bobina sono sostanzialmente coerenti. L'errore topologico principale è nel ramo AC a destra, dove manca il collegamento visibile tra la sorgente AC e il contatto RL1. Inoltre la batteria reale è stata spezzata in due componenti Battery distinti e lo stato dello switch è marcato closed mentre il simbolo appare open. Nel complesso il graph resta una buona base correggibile, ma non è una corrispondenza quasi perfetta dell'immagine."
a04,A,a04.jpg,a04.json,98,VERY_HIGH,True,10,24,55,9,0,0,1,0,0,0,15.889,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph e topologicamente coerente con l'immagine: ingresso V2 accoppiato tramite C1 al nodo di base, partitore R3-R4 sulla base, R1 dal collettore al rail positivo, R2 e C3 dall'emettitore a massa, C2 dal collettore al ramo con R5 verso massa, e batteria V1 tra rail superiore e rail inferiore/GND. Non emergono errori certi nei collegamenti terminale-terminale."
a05,A,a05.png,a05.json,96,VERY_HIGH,True,10,23,54,9,0,0,1,0,0,0,14.194,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph e sostanzialmente fedele all'immagine: J15 pin1 va al resistore e poi al meter VMON con ritorno a GND, pin2 va al condensatore verso GND, pin3 va allo switch TEST aperto verso GND, pin4 va direttamente a GND. Nessun net fuse/split evidente e nessun collegamento inventato o mancante rilevante."
a06,A,a06.jpg,a06.json,98,VERY_HIGH,True,10,24,55,9,0,0,1,0,0,0,20.639,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,Il campo graph e coerente con l'immagine: ingresso AC -> Rs -> Cc1 -> base del BJT; nodo base condiviso con 100 kΩ verso Vcc e 47 kΩ verso GND; collettore condiviso con 6.8 kΩ verso Vcc e Cc2 verso uscita; emettitore condiviso con 3.9 kΩ verso VEE e Ce verso GND; nodo di uscita condiviso con RL verso GND e terminale di uscita. Non emergono errori topologici certi nei collegamenti dichiarati.
a07,A,a07.png,a07.json,72,MEDIUM,True,9,22,34,7,0,3,1,1,0,1,34.396,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il graph e in gran parte coerente per switch, resistor, LED, meter e GND locali, ma il ramo superiore principale e spezzato nel JSON: nell'immagine J7 pin1 e il terminale sinistro del meter sono sullo stesso filo, mentre il graph li separa tramite due terminali diversi del trasformatore. Questo errore topologico principale abbassa il giudizio a MEDIUM."
a08,A,a08.jpg,a08.json,97,VERY_HIGH,True,10,23,55,9,0,0,1,0,0,0,24.284,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph e sostanzialmente coerente con i collegamenti visibili: nodo superiore comune tra sorgente, LED anodo, R1 e R7; nodo Trigger tra R1, C1 e lato sinistro di R3; nodo del transistor/emettitore condiviso con R7 e R6; LED catodo al collettore; base tramite R3; massa inferiore su C1 e R6. Nessun errore topologico certo nei collegamenti dichiarati; solo una lieve semplificazione di classe sul potenziometro usato come resistore."
a09,A,a09.png,a09.json,71,MEDIUM,True,9,20,33,9,1,2,1,3,3,3,40.995,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il graph riproduce bene gran parte della struttura visibile: batteria-fusibile-connettore, pin2 verso condensatore, pin3 verso switch e lampada, pin4 verso resistore e LED. Tuttavia contiene un errore topologico critico: fonde il nodo J1 pin4/R3 con la massa del condensatore, che nell'immagine e un nodo separato. Inoltre manca il collegamento della lampada al suo GND. Per questo la fedelta complessiva e solo MEDIA."
a10,A,a10.png,a10.json,96,VERY_HIGH,True,10,23,55,8,0,0,2,0,0,0,16.67,True,True,prompt.txt,19f1ee29c0c6922dee303ac77ebb6d39133327859473113aaad908c034efb2ac,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il graph JSON riproduce fedelmente i collegamenti visibili: batteria negativa a GND, batteria positiva al lato sinistro dello switch aperto, uscita switch a J1 pin1, J1 pin2 alla resistenza e poi all'anodo LED con catodo a GND, J1 pin3 alla lampada con ritorno a GND, e J1 pin4 a GND. Non emergono errori topologici certi nei collegamenti terminale-terminale."
