model,criterion,criterion_label,score_mean
gpt-4o-mini,cause_priority,Priorità cause,1.5
gpt-4o-mini,circuit_understanding,Comprensione circuito,3.0
gpt-4o-mini,datasheet_use,Uso datasheet,3.0
gpt-4o-mini,diagnostic_accuracy,Accuratezza diagnostica,2.5
gpt-4o-mini,hallucination_absence,Assenza allucinazioni,2.5
gpt-4o-mini,json_image_use,Uso JSON/immagine,1.5
gpt-4o-mini,practical_checks,Controlli pratici,3.0
gpt-4.1-mini,cause_priority,Priorità cause,3.0
gpt-4.1-mini,circuit_understanding,Comprensione circuito,3.0
gpt-4.1-mini,datasheet_use,Uso datasheet,3.0
gpt-4.1-mini,diagnostic_accuracy,Accuratezza diagnostica,3.0
gpt-4.1-mini,hallucination_absence,Assenza allucinazioni,2.0
gpt-4.1-mini,json_image_use,Uso JSON/immagine,2.0
gpt-4.1-mini,practical_checks,Controlli pratici,3.0
gpt-4.1-nano,cause_priority,Priorità cause,3.0
gpt-4.1-nano,circuit_understanding,Comprensione circuito,3.0
gpt-4.1-nano,datasheet_use,Uso datasheet,3.0
gpt-4.1-nano,diagnostic_accuracy,Accuratezza diagnostica,3.0
gpt-4.1-nano,hallucination_absence,Assenza allucinazioni,2.0
gpt-4.1-nano,json_image_use,Uso JSON/immagine,2.0
gpt-4.1-nano,practical_checks,Controlli pratici,3.0
gpt-5-nano,cause_priority,Priorità cause,3.0
gpt-5-nano,circuit_understanding,Comprensione circuito,3.0
gpt-5-nano,datasheet_use,Uso datasheet,3.0
gpt-5-nano,diagnostic_accuracy,Accuratezza diagnostica,3.0
gpt-5-nano,hallucination_absence,Assenza allucinazioni,2.0
gpt-5-nano,json_image_use,Uso JSON/immagine,2.0
gpt-5-nano,practical_checks,Controlli pratici,3.0
gpt-5-mini,cause_priority,Priorità cause,3.0
gpt-5-mini,circuit_understanding,Comprensione circuito,3.0
gpt-5-mini,datasheet_use,Uso datasheet,3.0
gpt-5-mini,diagnostic_accuracy,Accuratezza diagnostica,3.0
gpt-5-mini,hallucination_absence,Assenza allucinazioni,2.5
gpt-5-mini,json_image_use,Uso JSON/immagine,3.0
gpt-5-mini,practical_checks,Controlli pratici,3.0
gpt-5.4-nano,cause_priority,Priorità cause,2.5
gpt-5.4-nano,circuit_understanding,Comprensione circuito,3.0
gpt-5.4-nano,datasheet_use,Uso datasheet,3.0
gpt-5.4-nano,diagnostic_accuracy,Accuratezza diagnostica,2.0
gpt-5.4-nano,hallucination_absence,Assenza allucinazioni,2.0
gpt-5.4-nano,json_image_use,Uso JSON/immagine,2.0
gpt-5.4-nano,practical_checks,Controlli pratici,3.0
gpt-5.4-mini,cause_priority,Priorità cause,3.0
gpt-5.4-mini,circuit_understanding,Comprensione circuito,3.0
gpt-5.4-mini,datasheet_use,Uso datasheet,3.0
gpt-5.4-mini,diagnostic_accuracy,Accuratezza diagnostica,3.0
gpt-5.4-mini,hallucination_absence,Assenza allucinazioni,2.5
gpt-5.4-mini,json_image_use,Uso JSON/immagine,3.0
gpt-5.4-mini,practical_checks,Controlli pratici,3.0
gpt-5.4,cause_priority,Priorità cause,3.0
gpt-5.4,circuit_understanding,Comprensione circuito,3.0
gpt-5.4,datasheet_use,Uso datasheet,3.0
gpt-5.4,diagnostic_accuracy,Accuratezza diagnostica,2.5
gpt-5.4,hallucination_absence,Assenza allucinazioni,2.0
gpt-5.4,json_image_use,Uso JSON/immagine,2.5
gpt-5.4,practical_checks,Controlli pratici,3.0
