circuit_id,mode,score_diagnostic_correctness,score_test_quality,score_evidence_interpretation,score_goal_achievement,score_conclusion_quality,total_score
a01,chat,2,2,2,2,2,10
a01,agent,2,2,2,2,2,10
a02,chat,1,1,2,1,2,7
a02,agent,2,2,1,1,1,7
a04,chat,2,2,1,2,1,8
a04,agent,1,2,1,2,1,7
a05,chat,2,2,2,2,2,10
a05,agent,2,2,2,2,2,10
a06,chat,2,2,2,2,2,10
a06,agent,1,2,1,1,1,6
a07,chat,2,2,2,2,2,10
a07,agent,2,2,2,2,2,10
a08,chat,2,2,2,2,2,10
a08,agent,1,1,1,1,0,4
a09,chat,2,2,2,2,2,10
a09,agent,2,2,2,1,1,8
a10,chat,2,1,2,1,1,7
a10,agent,2,2,2,2,2,10
b02,chat,2,2,2,2,2,10
b02,agent,1,1,1,1,0,4
b03,chat,1,2,1,1,1,6
b03,agent,2,2,1,1,1,7
b04,chat,1,1,2,1,1,6
b04,agent,1,1,1,1,0,4
b05,chat,1,1,1,1,1,5
b05,agent,1,1,1,1,0,4
b06,chat,2,2,2,2,1,9
b06,agent,1,1,1,1,1,5
b10,chat,1,1,1,1,1,5
b10,agent,1,1,1,1,1,5
c02,chat,2,1,1,1,1,6
c02,agent,1,1,0,0,0,2
c03,chat,1,1,1,1,1,5
c03,agent,1,1,1,1,0,4
ic01,chat,2,2,1,2,1,8
ic01,agent,2,2,2,2,2,10
ic02,chat,2,2,1,1,1,7
ic02,agent,1,1,1,1,1,5
ic03,chat,2,2,2,2,2,10
ic03,agent,2,2,1,2,1,8
ic04,chat,1,1,1,1,1,5
ic04,agent,1,1,1,1,0,4
