analysis_set,mode,criterion,criterion_description,n,mean_score_0_4,mean_score_0_100,median_score_0_4,sample_sd_0_4
all,chat,task_achievement,Quanto è stato raggiunto l'obiettivo richiesto dall'utente.,17,3.4706,86.7647,4,0.7174
all,chat,technical_correctness,Correttezza elettrica e diagnostica della risposta.,17,3.5294,88.2353,4,0.6243
all,chat,scenario_quality,Pertinenza e utilità degli scenari di verifica scelti.,17,3.2941,82.3529,3,0.686
all,chat,evidence_interpretation,Coerenza delle conclusioni con le misure SPICE ottenute.,17,3.6471,91.1765,4,0.6063
all,chat,conclusion_quality,"Chiarezza, completezza e solidità della conclusione finale.",17,3.6471,91.1765,4,0.6063
all,agent,task_achievement,Quanto è stato raggiunto l'obiettivo richiesto dall'utente.,17,3.2941,82.3529,4,0.9196
all,agent,technical_correctness,Correttezza elettrica e diagnostica della risposta.,17,2.8824,72.0588,3,0.8575
all,agent,scenario_quality,Pertinenza e utilità degli scenari di verifica scelti.,17,3.2353,80.8824,3,0.5623
all,agent,evidence_interpretation,Coerenza delle conclusioni con le misure SPICE ottenute.,17,3.1765,79.4118,3,0.951
all,agent,conclusion_quality,"Chiarezza, completezza e solidità della conclusione finale.",17,2.9412,73.5294,3,0.8993
