circuit_id,batch,task_type,same_initial_text,chat_score,agent_score,agent_minus_chat,winner,chat_outcome,agent_outcome,chat_critical_error_count,agent_critical_error_count,chat_scenarios_proposed,agent_scenarios_proposed,chat_scenarios_executed,agent_scenarios_executed,chat_successful_spice_runs,agent_successful_spice_runs,chat_failed_spice_runs,agent_failed_spice_runs,chat_user_turns,agent_decisions,chat_task_achievement,agent_task_achievement,diff_task_achievement,chat_technical_correctness,agent_technical_correctness,diff_technical_correctness,chat_scenario_quality,agent_scenario_quality,diff_scenario_quality,chat_evidence_interpretation,agent_evidence_interpretation,diff_evidence_interpretation,chat_conclusion_quality,agent_conclusion_quality,diff_conclusion_quality
a01,batchChatAgentEvaluation,diagnosis,1,100,100,0,tie,success,success,0,0,4,1,2,1,2,1,0,0,5,2,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0
a02,batchChatAgentEvaluation,diagnosis,1,90,100,10,agent,partial_success,success,0,0,3,2,2,2,2,2,0,0,5,3,3,4,1,4,4,0,3,4,1,4,4,0,4,4,0
a04,batchChatAgentEvaluation,diagnosis,1,100,90,-10,chat,success,success,0,0,4,2,4,2,4,2,0,0,8,2,4,4,0,4,3,-1,4,4,0,4,4,0,4,3,-1
a05,batchChatAgentEvaluation,diagnosis,1,100,100,0,tie,success,success,0,0,3,1,1,1,1,1,0,0,3,2,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0
a06,batchChatAgentEvaluation,diagnosis,1,50,60,10,agent,partial_success,partial_success,2,2,5,2,3,2,3,2,0,0,8,3,2,3,1,2,2,0,2,3,1,2,2,0,2,2,0
a07,batchChatAgentEvaluation,diagnosis,1,100,95,-5,chat,success,success,0,0,4,2,3,2,3,2,0,0,7,3,4,4,0,4,4,0,4,3,-1,4,4,0,4,4,0
a08,batchChatAgentEvaluation,diagnosis,1,100,75,-25,chat,success,partial_success,0,0,3,3,1,3,1,2,0,1,3,4,4,3,-1,4,3,-1,4,3,-1,4,3,-1,4,3,-1
a09,batchChatAgentEvaluation,diagnosis,1,85,90,5,agent,success,success,0,0,1,1,1,1,1,1,0,0,3,2,3,4,1,4,3,-1,3,3,0,3,4,1,4,4,0
a10,batchChatAgentEvaluation,diagnosis,1,90,85,-5,chat,success,success,0,1,1,1,1,1,1,1,0,0,3,2,4,4,0,3,3,0,3,4,1,4,3,-1,4,3,-1
b02,batchChatAgentEvaluation,diagnosis,1,95,60,-35,chat,success,partial_success,0,2,3,3,1,3,1,3,0,0,3,4,4,2,-2,4,2,-2,4,3,-1,3,3,0,4,2,-2
b03,batchChatAgentEvaluation,functional_verification,0,95,80,-15,chat,success,success,0,0,4,1,4,1,4,1,0,0,7,2,4,4,0,4,3,-1,3,3,0,4,3,-1,4,3,-1
b04,batchChatAgentEvaluation,functional_verification,1,85,35,-50,chat,partial_success,failure,0,3,7,2,2,2,2,2,0,0,6,3,3,1,-2,3,1,-2,3,3,0,4,1,-3,4,1,-3
b05,batchChatAgentEvaluation,diagnosis,1,80,60,-20,chat,partial_success,partial_success,0,2,5,5,3,5,3,5,0,0,10,5,3,3,0,3,2,-1,3,3,0,4,2,-2,3,2,-1
b06,batchChatAgentEvaluation,diagnosis,1,95,80,-15,chat,success,success,0,0,5,1,3,1,3,1,0,0,6,2,4,3,-1,4,3,-1,3,3,0,4,4,0,4,3,-1
b10,batchChatAgentEvaluation,diagnosis,1,85,80,-5,chat,success,success,1,1,3,1,1,1,1,1,0,0,3,2,4,4,0,3,3,0,4,3,-1,3,3,0,3,3,0
c02,batchChatAgentEvaluation,diagnosis,1,65,50,-15,chat,partial_success,partial_success,1,3,3,1,1,1,1,1,0,0,4,2,2,2,0,3,2,-1,2,2,0,3,2,-1,3,2,-1
c03,batchChatAgentEvaluation,diagnosis,1,80,80,0,tie,partial_success,success,0,0,1,1,1,1,1,1,0,0,4,2,3,3,0,3,3,0,3,3,0,4,4,0,3,3,0
